customer_id,cif_number,customer_name,dob,age,gender,marital_status,occupation_type,annual_income,city,state,pincode,pan_number,mobile_number,email_id,kyc_status,years_at_current_residence,own_rent_flag,load_date
2000000,CIF0002000000,Sneha Sankar,1996-07-21,28,Female,Unmarried,Contract Employee,7028210.08,Coimbatore,Tamil Nadu,372986,INTKS8471F,9901898947,ebobal@example.net,Re-KYC Due,17,Rented,2024-12-31
2000001,CIF0002000001,Ronith Hayre,1988-12-29,36,Female,Married,Salaried - Government,5960334.01,Howrah,West Bengal,676060,EOADC8431M,9295047890,karora@example.net,Verified - Branch,30,Owned,2024-12-31
2000002,CIF0002000002,Yashodhara Lata,1960-09-05,64,Male,Married,Self Employed - Non Professional,11145999.29,Howrah,West Bengal,279508,LFLSF4049A,9208243963,kadakiagaurav@example.com,Verified - Branch,25,Owned,2024-12-31
2000003,CIF0002000003,Priya Ganesh,1982-03-15,42,Female,Unmarried,Self Employed - Non Professional,4884631.11,Amritsar,Punjab,423025,GOGEQ5006Z,9386450980,barkhakhalsa@example.com,Verified - CKYC,15,Rented,2024-12-31
2000004,CIF0002000004,Bhavani Bhasin,1974-08-20,50,Female,Unmarried,Salaried - Government,2805251.75,Siliguri,West Bengal,568531,EKGAI5159S,9748118531,meghana41@example.net,Verified - Branch,27,Rented,2024-12-31
2000005,CIF0002000005,Nikita Dutta,1970-08-22,54,Female,Married,Pensioner,2177537.46,Pune,Maharashtra,685432,LEIRP9634P,9657212859,yadavichander@example.com,Verified - CKYC,4,Owned,2024-12-31
2000006,CIF0002000006,Laban Sundaram,1987-09-07,37,Female,Married,Contract Employee,7837125.07,Mysuru,Karnataka,630490,KUWOE1728I,9710874601,wyatt65@example.com,Verified - CKYC,21,Owned,2024-12-31
2000007,CIF0002000007,Yatan Gandhi,1971-07-26,53,Male,Widowed,Self Employed - Non Professional,13847464.56,Nizamabad,Telangana,776758,GNYUX1662G,9188057432,edhitha61@example.org,Verified - Branch,27,Rented,2024-12-31
2000008,CIF0002000008,Saanvi Varma,1996-04-15,28,Female,Married,Self Employed - Professional,11714801.24,Hyderabad,Telangana,865215,BVEFS2533A,9730157079,jeremiah12@example.com,Verified - Branch,21,Owned,2024-12-31
2000009,CIF0002000009,Januja Peri,1997-11-18,27,Male,Married,Self Employed - Non Professional,10339190.1,Surat,Gujarat,624146,HWNBV1080S,9199781992,guhavasatika@example.net,Verified - V-KYC,3,Owned,2024-12-31
2000010,CIF0002000010,Dalaja Dey,1968-08-13,56,Female,Married,Salaried - Government,9134859.23,Pune,Maharashtra,882259,DEWYY7719O,9823098233,thomas41@example.org,Verified - CKYC,3,Owned,2024-12-31
2000011,CIF0002000011,Bachittar Bahri,1971-03-19,53,Male,Married,Self Employed - Non Professional,670902.61,Mysuru,Karnataka,699663,BQADI9669Y,9306635789,nkrishnan@example.net,Verified - CKYC,10,Owned,2024-12-31
2000012,CIF0002000012,Vasatika Samra,1995-11-07,29,Male,Married,Gig Worker,10283660.75,Pune,Maharashtra,755725,QRHND5621F,9663517299,rwalla@example.org,Verified - CKYC,10,Company Provided,2024-12-31
2000013,CIF0002000013,Vyanjana Bajwa,1967-01-29,57,Female,Unmarried,Salaried - Government,12179713.41,Chandigarh,Punjab,871734,DHDVP7008L,9803468817,parthsant@example.com,Verified - CKYC,29,Owned,2024-12-31
2000014,CIF0002000014,Nachiket Yogi,1966-07-02,58,Male,Married,Pensioner,8299461.19,Chandigarh,Punjab,665852,UPVUF8433D,9493731040,dateayaan@example.org,Verified - CKYC,24,Parental,2024-12-31
